Taxon (original name);Taxon (revised nomenclature);Family name;Pollen habit (code);Pollen habit (name);Plant habit
Tetracea alnifolia;Tetracera alnifolia-type;DILLENIACEAE;L;liana;large woody liane up to 15 m or more tall
Asteraceae échinulée undiff.;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae I;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae III;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae indiff.;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae liguliflorae;Cichorieae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, rarely shrubs or trees
Asteraceae liguliflore;Cichorieae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);annual or perennial herbs, rarely shrubs or trees
Asteraceae tubiliflorae;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae Tubuliflorae;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae tubuliflore;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae type;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae type 2;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Asteraceae undiff.2;Asteraceae undiff.;ASTERACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, subshrubs, shrubs or less often trees, sometimes lianes, rarely aquatic or epiphytic, sometimes succulent
Melastometac;Melastomataceae undiff.;MELASTOMATACEAE;I;undifferentiated (tree, shrub, herb, liana..);trees, shrubs or more commonly herbs, rarely climbers, sometimes epiphytes
Osbekia-type tubulosa;Osbeckia-type tubulosa;MELASTOMATACEAE;I;undifferentiated (tree, shrub, herb, liana..);Erect semi-woody annual herb,
Mimosa sp;Mimosa;MIMOSACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs or shrubs, rarely trees
Mimosa type;Mimosa;MIMOSACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs or shrubs, rarely trees
Mimosa/Xylia;Mimosa/Xylia;MIMOSACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs or trees
type Mimosa;Mimosa;MIMOSACEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs or shrubs, rarely trees
autres Monocotylédones;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocot;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocot indet.;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocot undiff.;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocot. indet.;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocots;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocots undiff.;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocotyledonae;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocotyledonae type A;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Monocotyledonae undiff.;Monocotyledoneae undiff.;MONOCOTYLEDONEAE;I;undifferentiated (tree, shrub, herb, liana..);herbs, shrubs, trees or lianes
Eudicotyledoneae (triporate, Mauritius type 154, de Boer);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
General unknowns;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Heliotropium (ou Boraginaceae? Ou Helianthemum?);Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Hexacolpate type;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Hygenia;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Hypercifoloia;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Hypercifoloia type;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Inaperturate;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Ind,termin,s+Abim,s;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Ind‚termin‚s;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Inderterminés;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indet pollen;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indet.;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indéterminables;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indeterminata;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
indeterminata/varia;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
Indeterminata/varia;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
INDETERMINATE;Undetermined;UNDETERMINED;I;undifferentiated (tree, shrub, herb, liana..);
